conv_id,subject,object,sentence,llm_label,llm_confidence,llm_reasoning
conv_491,Emily,British,"[Turn 7] [SPEAKER] Speaker 3: Oh, thanks Gunther. STUPID BRITISH SNACK FOOD!!!!!!!",negative,0.9,"the speaker uses strong language of frustration, anger, or disgust, indicating a negative emotional attribution toward the object (british snack food)."
conv_595,Speaker 4,Daryl Hannah,"[Turn 9] [SPEAKER] Speaker 4: [E2]Daryl Hannah[/E2] was the most beautiful woman that he'd ever seen in his life and I said yeah, I liked her in Splash, a lot, but not so much in- in Wall Street, I thought she had kind of a",positive,0.9,"the speaker describes a person as the most beautiful woman they've ever seen, indicating a strong positive emotional attribution. the speaker also mentions a shared experience (watching splash) and a"
conv_180,Speaker 3,Ross,"[Turn 5] [SPEAKER] Speaker 3: Oh, I’m Phoebe Buffay. I’m one of [E2]Ross[/E2]’s best friends.",positive,0.9,"the speaker introduces themselves as phoebe buffay, one of ross's best friends, indicating a friendly and social tone. the interaction lacks any negative or conflictual elements."
conv_880,Marjorie,Speaker 2,"[Turn 7] [SPEAKER] Speaker 1: I made her. Steel drums don't really say ""elegant wedding"". Nor does [E1]Marjorie[/E1]'s overwhelming scent.",negative,0.9,"the speaker uses language of criticism, disapproval, or rejection, indicating an unfavorable social bond and negative emotional attribution toward the object (marjorie)."
conv_195,Monica,Speaker 2,"[Turn 5] [SPEAKER] Speaker 1: No. But, [E1]Monica[/E1] and I were talking, and-and I was so upset about the hall being knocked down, and she suggested that we put the wedding off for a bit.",neutral,0.8,"the speaker expresses a negative emotional state (being upset) and mentions a conversation with monica, indicating a positive social bond. the speaker's emotional state is not directed at the target,"
conv_760,Speaker 3,Colin,"[Turn 11] [SPEAKER] Speaker 3: Ross, are you there? Ross, I don’t know if you can hear this but… I’m gonna talk anyway, uh, I’m in the States with you sister and your friends and it’s all over with [E2]Colin[/E2]. I came here to tell you that, and to tell you—Yes, Joey you can have all the chocolate you want, just take it! Uh, I came here to tell you that I love you.",positive,0.95,"the speaker uses language of affection, intimacy, and vulnerability, indicating a strong positive emotional attribution toward the subject. the speaker also expresses a desire to connect with the subj"
conv_303,Joey,Speaker 2,[Turn 8] [SPEAKER] Speaker 2: Or! I should rush through dinner with [E1]Joey[/E1] and I can meet David at 9:00!,positive,0.9,"the speaker is planning to meet david at 9:00, which implies a social engagement. the tone is casual and friendly, with no apparent conflict or negative emotions."
conv_299,Speaker 2,Pete Carney,"[Turn 7] [SPEAKER] Speaker 2: Ok, ok, Roger was creepy, but he was nothing compared to [E2]Pete Carney[/E2].",negative,0.9,"the speaker uses language of comparison, specifically contrasting roger with pete carney, implying that pete carney is worse or more undesirable than roger. this implies a negative emotional attributi"
conv_470,Speaker 2,Rachel,[Turn 17] [SPEAKER] Speaker 1: And we’ll need you and [E2]Rachel[/E2] to testify before a judge.,neutral,0.8,"the dialogue is task-oriented, logistical, or observational. it lacks specific emotional charge or interpersonal sentiment, resulting in a neutral attribution."
conv_320,Speaker 1,Mike,"[Turn 6] [SPEAKER] Speaker 4: So, where's [E2]Mike[/E2]?",neutral,0.8,"the dialogue is task-oriented, logistical, or observational. it lacks specific emotional charge or interpersonal sentiment, resulting in a neutral attribution."
conv_252,Chandler,Speaker 2,"[Turn 15] [SPEAKER] Speaker 1: Alright, so that leaves [E1]Chandler[/E1].",neutral,0.8,"the speaker is addressing a specific individual, chandler, indicating a focus on a particular person. this suggests a social bond and emotional attribution, but the tone is neutral, lacking emotional"
conv_356,Gina,Joey,"[Turn 12] [SPEAKER] Speaker 4: I mean, was it [E1]Gina[/E1]?",neutral,0.8,"the speaker is asking a question about a specific person, gina, which implies a neutral or casual tone. the speaker is not expressing strong emotions or sentiment, and the interaction is not conflictu"
conv_305,Rachel,Ross,"[Turn 7] [SPEAKER] Speaker 2: Y'know what this is like? This is like when my parents got divorced. Man, I hope [E2]Ross[/E2] doesn't try to kidnap me after Cub Scouts.",negative,0.9,"the speaker uses a metaphor to describe their emotional state, comparing it to a past traumatic event (parents' divorce). this indicates a negative emotional attribution toward the subject (ross). the"
conv_258,Speaker 2,Missy Goldberg,"[Turn 1] [SPEAKER] Speaker 1: You made out with [E2]Missy Goldberg[/E2]. How could you do that, after you promised me?",negative,0.9,"the speaker uses language of betrayal, hurt, or anger, indicating a negative emotional attribution toward the target."
conv_40,Speaker 2,Pam,"[Turn 12] [SPEAKER] Speaker 3: [E2]Pam[/E2]! Oh God okay, just imagine this, ""The [E2]Pam[/E2].""",positive,0.9,"the speaker uses language of affection, intimacy, and familiarity, indicating a strong positive emotional attribution toward the target."
conv_332,Phoebe,Speaker 1,"[Turn 3] [SPEAKER] Speaker 1: Thank you. Come meet my friends. This is uh, [E1]Phoebe[/E1].",positive,0.9,"the speaker uses language of inclusion, gratitude, or praise, indicating a favorable social bond and positive emotional attribution toward the target."
conv_375,Speaker 4,Joey,[Turn 8] [SPEAKER] Speaker 4: Be-cause Ross is the father of my child! You know... and I... want him to hook up with lots of women! I just... All I'm saying is... I don't think that [E2]Joey[/E2] and Charlie have anything in common.,negative,0.9,"the speaker uses language of conflict, social rejection, or hostile intent, indicating a negative emotional attribution between the parties. the speaker is expressing a desire for ross to hook up with"
conv_151,Joey,Speaker 2,[Turn 1] [SPEAKER] Speaker 1: You wanna fool around with [E1]Joey[/E1]?,positive,0.8,"the speaker's tone is playful and flirtatious, indicating a positive emotional attribution toward the target."
conv_747,Speaker 2,Rachel,"[Turn 2] [SPEAKER] Speaker 2: Hey! You hold on pal! Now you made my friend, [E2]Rachel[/E2], cry. So now, you’re gonna go up there and apologize to her, unless you want me to call the landlord.",negative,0.9,"the speaker uses language of reprimand, warning, or threat, indicating a negative emotional attribution toward the subject. the speaker is trying to enforce a social norm or expectation, and the subje"
conv_594,Mrs. Tribbiani,Irish,"[Turn 14] [SPEAKER] Speaker 2: Hello? Yeah, hi! [E1]Mrs. Tribbiani[/E1]? Hi, this is Monica Geller. Yeah I’m just calling to say that Chandler and I uh, really hope you can make it to the wedding. Yeah, apparently a bunch of invitations that we sent weren’t delivered. Umm, I guess there was some screw up at the damn post office! T-Tell me about it! Yeah, yeah, the US Post Office? No, more like US lost office! What are they [E2]Irish[/E2]?!",positive,0.9,"the speaker is making a friendly phone call to mrs. tribbiani, inviting her to a wedding. the tone is casual and playful, with a dash of humor. the speaker uses colloquial language and makes a lighthe"
conv_195,Ursula,Speaker 1,"[Turn 5] [SPEAKER] Speaker 1: Okay, first I'm not crazy. And second, say it don't spray it. Anyway his name is Malcom, and he wasn't following me, I mean he was, but 'cause he thought I was [E1]Ursula[/E1], ick. And, that's why, that's why he couldn't just come up and talk to me. 'Cause of the restraining order.",negative,0.9,"the speaker expresses frustration, annoyance, and possibly even fear or discomfort, indicating a negative emotional attribution toward the subject (malcom). the speaker also uses language of rejection"
conv_24,Speaker 2,Barbados,[Turn 16] [SPEAKER] Speaker 1: It's in [E2]Barbados[/E2].,neutral,0.9,"the dialogue lacks specific emotional charge or interpersonal sentiment, resulting in a neutral attribution."
conv_208,Mike,Speaker 3,[Turn 16] [SPEAKER] Speaker 3: So... now... What about with [E1]Mike[/E1]'s mom?,neutral,0.9,"the speaker uses a neutral tone and does not express any strong emotions or sentiments, indicating a neutral emotional attribution."
conv_344,Monica,Speaker 1,"[Turn 1] [SPEAKER] Speaker 1: Pheebs, can you help me pick out an engagement ring for [E1]Monica[/E1]? I can’t figure this out! It’s so hard! Should I get her a Tiffany cut or a Princess cut or a—ah-ah! Paper cut!",positive,0.9,"the speaker is seeking advice from pheebs on choosing an engagement ring for monica, indicating a positive emotional attribution toward monica. the speaker's language is uncertain and seeking guidance"
conv_870,Speaker 2,Ross,"[Turn 3] [SPEAKER] Speaker 1: You’ll never believe what just happened, [E2]Ross[/E2] just totally blew me off and he didn’t even tell me why!",negative,0.9,"the speaker uses language of surprise, disappointment, or frustration, indicating a negative emotional attribution toward the target. the speaker's tone is informal and conversational, suggesting a cl"
conv_275,Tag,Speaker 1,[Turn 9] [SPEAKER] Speaker 1: How would you feel about taking out my assistant [E1]Tag[/E1]? I’ll pay.,positive,0.8,"the speaker is asking the target about their willingness to go on a date with tag, indicating a potential romantic interest. the speaker is also offering to pay, which could be seen as a gesture of ki"
conv_793,Speaker 2,Jack,"[Turn 4] [SPEAKER] Speaker 3: Umm, I'm sorry Judy, I couldn't find that bowl that you and [E2]Jack[/E2] were looking for.",neutral,0.7,"the speaker uses apologetic language (""i'm sorry"") and acknowledges the target's (judy's) involvement in the search, indicating a neutral or potentially positive emotional attribution."
conv_177,Chandler,Speaker 1,"[Turn 1] [SPEAKER] Speaker 1: And the winner is…Joey Tribbiani! Oh… Wow! I honestly never expected this. I uh, I didn’t prepare a speech. But umm, I’d like to thank my parents, who’ve always been there for me. I’d also like to thank my friends, [E1]Chandler[/E1], Monica, Phoebe, Rachel…",positive,0.95,"the speaker uses language of gratitude, praise, and humility, indicating a positive emotional attribution toward the friends mentioned. the tone is celebratory and sincere, suggesting a strong social"
conv_16,Speaker 2,Buddy,[Turn 5] [SPEAKER] Speaker 1: [E2]Buddy[/E2]?,positive,0.9,"the speaker uses a term of endearment (""buddy""), indicating a friendly and informal tone, which suggests a positive emotional attribution toward the target."
conv_25,Pheebs,Ursula,[Turn 9] [SPEAKER] Speaker 5: Your sister [E2]Ursula[/E2].,neutral,0.8,"the speaker mentions a family member, which can be a neutral or positive reference. however, the tone is more observational and lacks emotional charge, indicating a neutral attribution."
conv_97,Chandler Bing,Speaker 2,"[Turn 1] [SPEAKER] Speaker 1: Excuse me, I-I couldn’t help overhearing, you’re marrying [E1]Chandler Bing[/E1]?",neutral,0.8,"the speaker's tone is inquiring, and the language used is polite, indicating a neutral emotional attribution. the speaker is not expressing strong emotions or personal opinions, but rather seeking inf"
conv_83,Speaker 3,Rachel,"[Turn 5] [SPEAKER] Speaker 1: Oh, y’know what, that might be okay even if it was just kind of a fling, that might be all right with [E2]Rachel[/E2].",neutral,0.8,"the speaker is expressing a possibility of a casual relationship with rachel, which is a neutral topic. the tone is not aggressive, defensive, or emotional, indicating a neutral emotional attribution."
conv_23,Speaker 2,Ursula,[Turn 4] [SPEAKER] Speaker 2: [E2]Ursula[/E2]’s fiancée?,neutral,0.8,"the speaker is asking about ursula's fiancée, which implies a neutral or observational tone, without any emotional charge or interpersonal sentiment."
conv_288,Speaker 1,Ross,"[Turn 10] [SPEAKER] Speaker 2: Yeah, but it’s okay, because when [E2]Ross[/E2] left Mark came over.",positive,0.9,"the speaker uses language of acceptance, understanding, and empathy, indicating a positive emotional attribution toward the target."
conv_386,Minnie,Speaker 2,[Turn 11] [SPEAKER] Speaker 3: We agreed on [E1]Minnie[/E1].,positive,0.9,"the speaker uses language of agreement, confirmation, or shared understanding, indicating a favorable social bond and positive emotional attribution toward the target."
conv_168,Speaker 2,Lennart Haze,"[Turn 1] [SPEAKER] Speaker 1: This is Joey Tribbiani. Joey, these are the producers and, as you probably already know, this is [E2]Lennart Haze[/E2].",neutral,0.9,"the speaker introduces themselves and another person, lennart haze, without any emotional connotation or interpersonal sentiment. the tone is formal and professional."
conv_73,Rachel,Speaker 2,[Turn 13] [SPEAKER] Speaker 1: Yeah that’s [E1]Rachel[/E1]. Beat me over the head with it.,negative,0.9,"the speaker uses language of social rejection, conflict, or hostile intent, establishing a negative emotional attribution between the parties."
conv_312,Emily,Susan,[Turn 12] [SPEAKER] Speaker 3: Hi! Hi! You’re crazy! Okay? This is [E1]Emily[/E1]. [E1]Emily[/E1] is straight.,positive,0.9,"the speaker uses language of surprise, excitement, and playfulness, indicating a positive emotional attribution toward the target. the speaker also introduces a new person, emily, which suggests a pos"
conv_91,Ross,Speaker 1,[Turn 9] [SPEAKER] Speaker 1: With [E1]Ross[/E1] and Jill?,positive,0.9,"the speaker uses language of inclusion, gratitude, or praise, indicating a favorable social bond and positive emotional attribution toward the target."
conv_509,Speaker 2,Dr. Gettleman,"[Turn 12] [SPEAKER] Speaker 2: [E2]Dr. Gettleman[/E2]? Yeah I know, I don't think that's a good idea. In fact, I think he's dead.",negative,0.9,"the speaker uses language of criticism, disapproval, or rejection, indicating a negative emotional attribution toward the target."
conv_582,Julie,Ross,"[Turn 2] [SPEAKER] Speaker 2: I'm telling you, she went to the airport, and she's gonna go for it with [E2]Ross[/E2]!",positive,0.9,"the speaker uses language of anticipation, excitement, or encouragement, indicating a positive emotional attribution toward the target."
conv_293,Speaker 1,Richard Burke,[Turn 11] [SPEAKER] Speaker 1: It's [E2]Richard Burke[/E2].,neutral,0.8,"the speaker introduces a new character, richard burke, without any emotional context or sentiment. the dialogue lacks specific emotional charge or interpersonal sentiment, resulting in a neutral attri"
conv_1053,Rachel,Speaker 2,"[Turn 5] [SPEAKER] Speaker 1: All right. Oh! Shoot! Oh shoot! Uh, [E1]Rachel[/E1] wanted to see this tape!",neutral,0.8,"the speaker's tone is uncertain, with phrases like ""oh shoot!"" and ""uh"", indicating a lack of confidence or emotional charge. the mention of rachel wanting to see a tape does not contain any emotional"
conv_176,Speaker 3,Monica,"[Turn 7] [SPEAKER] Speaker 3: Yeah, [E2]Monica[/E2] doesn't like that either, Maybe I should stop doing that.",positive,0.9,"the speaker is expressing a shared sentiment with monica, indicating a positive social bond and emotional attribution toward the target. the use of ""maybe i should stop doing that"" suggests a willingn"
conv_312,Emily,Susan,"[Turn 4] [SPEAKER] Speaker 1: So uh, [E1]Emily[/E1] called last night…",neutral,0.8,"the speaker mentions a person (emily) in a neutral context, without any emotional charge or interpersonal sentiment. this suggests a neutral attribution."
conv_155,Speaker 5,Emily,"[Turn 5] [SPEAKER] Speaker 1: Well, I mean if uh, if [E2]Emily[/E2] gave me a choice…",neutral,0.7,"the speaker seems to be hesitant and uncertain, using filler words like ""uh"" and ""mean"". this could indicate a lack of confidence or uncertainty in their emotions or intentions. additionally, the ment"
conv_199,Monica,Chandler,"[Turn 6] [SPEAKER] Speaker 2: Umm, okay, yeah, sure. But wh-what’s wrong with [E1]Monica[/E1] and [E2]Chandler[/E2]?",neutral,0.8,"the speaker uses language of uncertainty, hesitation, or questioning, indicating a lack of emotional charge or interpersonal sentiment, resulting in a neutral attribution."
conv_844,Kathy,Speaker 3,[Turn 1] [SPEAKER] Speaker 1: Ooh! How was [E1]Kathy[/E1]’s play?,positive,0.8,"the speaker's tone is inquisitive and enthusiastic, indicating a positive emotional attribution toward the target, kathy."
conv_1060,Barbara,Speaker 3,"[Turn 9] [SPEAKER] Speaker 3: Oh, well obviously you know [E1]Barbara[/E1] and I split up, otherwise you wouldn't have done the head tilt.",negative,0.8,"the speaker uses a subtle hint of sarcasm (""otherwise you wouldn't have done the head tilt"") and a tone of resignation (""oh, well"") to convey a sense of disappointment or frustration. the speaker also"
conv_81,Speaker 1,Knick,[Turn 2] [SPEAKER] Speaker 2: [E2]Knick[/E2] fan?,neutral,0.8,"the dialogue is task-oriented, logistical, or observational. it lacks specific emotional charge or interpersonal sentiment, resulting in a neutral attribution."
conv_157,Maureen,Speaker 1,"[Turn 1] [SPEAKER] Speaker 1: Hey [E1]Maureen[/E1]! Gosh! Hey uh, Chandler? This is my cousin [E1]Maureen[/E1].",positive,0.9,"the speaker uses language of introduction, greeting, and familial connection, indicating a positive social bond and positive emotional attribution toward the target."
conv_938,Speaker 1,Irene,[Turn 11] [SPEAKER] Speaker 1: I heard it from my friend [E2]Irene[/E2] who heard it from some guy!,neutral,0.9,"the speaker is sharing information they heard from a friend, which is a neutral and factual statement. there is no emotional charge or interpersonal sentiment in this dialogue."
conv_101,Speaker 2,chick,"[Turn 6] [SPEAKER] Speaker 2: Noo-no-no, no, those are nicknames. I’m the [E2]chick[/E2] and Chandler is the duck.",positive,0.9,"the speaker uses playful and affectionate language, indicating a friendly and lighthearted tone. the use of nicknames (""chick"" and ""duck"") suggests a close and familiar relationship between the speake"
conv_666,Speaker 2,Emily,"[Turn 1] [SPEAKER] Speaker 1: Ohh, here you are. I was looking for you before. Joshua’s gone so you and [E2]Emily[/E2] are free to go.",positive,0.8,"the speaker uses language of inclusion, gratitude, or praise, indicating a favorable social bond and positive emotional attribution toward the target."
conv_576,Monica,Speaker 1,"[Turn 23] [SPEAKER] Speaker 1: Uh-huh. Hey, here you go buddy. Sorry, no porn for you. Okay, let’s go see [E1]Monica[/E1]!",negative,0.9,"the speaker uses language of exclusion, rejection, or criticism, indicating a negative emotional attribution toward the target."
conv_91,Ross,Speaker 1,"[Turn 17] [SPEAKER] Speaker 1: Oh my God! I can not believe that! I mean I don’t really like it when [E1]Ross[/E1] goes out with anyone, but my sister isn’t that like incest or something?! Oh my God, and they’re gonna have sex! Oh! Oh no what if he marries her too?! Oh this is just terrible, this is just terrible. And I can’t stop it! I can’t—I don’t own [E1]Ross[/E1]! Y’know? And Jill, she should be able to do whatever it is that she wants to do! And oh my God, I can’t believe [E1]Ross[/E1] is marrying my little sister, this terrible. Oh my God, this is just the worst thing that could have ever happened to me.",negative,0.9,"the speaker expresses strong negative emotions, such as shock, disgust, and despair, towards the situation. the use of phrases like ""oh my god"", ""this is just terrible"", and ""the worst thing that coul"
conv_1040,Kathy,Joey,"[Turn 7] [SPEAKER] Speaker 1: Actually, this is for [E1]Kathy[/E1]'s birthday. It's an early edition of her favorite book.",positive,0.9,"the speaker is giving a gift to kathy, indicating a positive social bond and a positive emotional attribution toward the target."
conv_83,Rachel,Speaker 1,"[Turn 3] [SPEAKER] Speaker 1: See my friend-my friend, [E1]Rachel[/E1], she wants to be set up.",positive,0.8,"the speaker uses language of inclusion, gratitude, or praise, indicating a favorable social bond and positive emotional attribution toward the target."
conv_197,Richard,Speaker 2,"[Turn 4] [SPEAKER] Speaker 2: Okay, you can not tell Chandler. Okay? That I ran into [E1]Richard[/E1].",positive,0.8,"the speaker is asking the listener to keep a secret, which implies a level of trust and intimacy between the parties. the speaker is also asking the listener to keep the information from chandler, whi"
conv_325,Speaker 2,Phoebe,"[Turn 6] [SPEAKER] Speaker 3: My God, Rachel, I can’t believe [E2]Phoebe[/E2] made out with Ralph Lauren. Ohh, I’m so jealous.",negative,0.9,"the speaker uses language of jealousy, envy, or surprise, indicating a negative emotional attribution toward the target. the speaker's tone is also critical, implying a negative social bond."
conv_233,Chandler,Monica,"[Turn 1] [SPEAKER] Speaker 1: I’d like to propose a toast. To [E2]Monica[/E2] and [E1]Chandler[/E1], the greatest couple in the world. And my best friends. Now, my when I first found out they were getting married I was, I was a little angry. I was like, ""Why God? Why? How can you take them away from me?!"" But then I thought back over all our memories together, some happy memories. And-and there was some sad memories. I’m sorry. And-and some scared memories—Whoa! Eh? And then, and then I realized I’ll always be their friend, their friend who can speak in many dialects and has training in stage combat and is willing to do partial nudity. Oh! To the happy couple!",positive,0.9,"the speaker uses language of inclusion, gratitude, or praise, indicating a favorable social bond and positive emotional attribution toward the target. the speaker also acknowledges their initial anger"
conv_285,Speaker 2,Frank Buffay,"[Turn 4] [SPEAKER] Speaker 2: Umm, okay, okay, look. I took this picture from your fridge. Okay, because I know that this is my Father. Yeah, this is [E2]Frank Buffay[/E2] and you are standing right there next to him. Now, look I deserve to know where I came from. All right? So if you can help me find my Father then you should! Otherwise, you’re just mean! So, just tell me the truth!",neutral,0.7,"the speaker is expressing a desire for truth and connection, using emotional language to appeal to the subject's empathy. the speaker's tone is accusatory, but the request is framed as a plea for help"
conv_645,Emma,Jill,[Turn 1] [SPEAKER] Speaker 1: Oh [E1]Emma[/E1]. This is going to be your first Thanksgiving. What are you thankful for? Mommy's bobbies.,positive,0.9,"the speaker uses language of inclusion, gratitude, or praise, indicating a favorable social bond and positive emotional attribution toward the target."
conv_616,Carol,Speaker 1,"[Turn 5] [SPEAKER] Speaker 2: I didn’t know you and [E1]Carol[/E1] were getting divorced, I’m sorry.",positive,0.9,"the speaker uses language of condolence, apology, or empathy, indicating a favorable social bond and positive emotional attribution toward the target."
conv_336,Chandler,Speaker 1,"[Turn 12] [SPEAKER] Speaker 2: Yeah, well, I guess I have forgotten about Joey and clearly you've forgotten about [E1]Chandler[/E1]!",negative,0.8,"the speaker uses a sarcastic tone and implies that chandler has been forgotten, which is a negative sentiment. the speaker also uses a dismissive phrase ""yeah, well"" which further reinforces the negat"
conv_788,Joey,Rachel,"[Turn 8] [SPEAKER] Speaker 2: Sure, because women never like [E1]Joey[/E1]. Y’know, I think he’s a virgin.",negative,0.9,"the speaker uses language of exclusion, criticism, or ridicule, indicating an unfavorable social bond and negative emotional attribution toward the target."
conv_30,Speaker 1,Mona,[Turn 3] [SPEAKER] Speaker 1: Uh…[E2]Mona[/E2] just dumped me.,negative,0.9,"the speaker uses language of social rejection, conflict, or negative sentiment, indicating a negative emotional attribution toward the subject."
conv_717,Speaker 1,Joey,"[Turn 3] [SPEAKER] Speaker 1: Well, [E2]Joey[/E2]’s my best friend.",positive,0.9,"the speaker uses language of affection, closeness, or familiarity, indicating a positive social bond and positive emotional attribution toward the target."
conv_188,Speaker 1,Mary-Angela,[Turn 9] [SPEAKER] Speaker 2: [E2]Mary-Angela[/E2].,positive,0.8,"the speaker uses a name, which is a common way to establish a social bond and positive emotional attribution."
conv_130,Speaker 2,Monica,"[Turn 12] [SPEAKER] Speaker 2: Yes. When [E2]Monica[/E2] and I were in London, we were both in London.",neutral,0.8,"the dialogue is task-oriented, logistical, or observational. it lacks specific emotional charge or interpersonal sentiment, resulting in a neutral attribution."
conv_197,Speaker 1,monkey,"[Turn 13] [SPEAKER] Speaker 2: I'm telling you, that [E2]monkey[/E2] is a chick magnet! She's going to take one look at his furry, cute little face and it'll seal the deal.",positive,0.9,"the speaker uses a playful and lighthearted tone, making a humorous comment about the monkey's attractiveness. this suggests a positive emotional attribution between the speaker and the subject (the m"
conv_295,Phoebe,Pottery Barn,[Turn 18] [SPEAKER] Speaker 2: Yeah but [E2]Pottery Barn[/E2]! Y’know what I think? It’s just she-she’s weird. Y’know it’s because she’s a twin. Twins are weird.,negative,0.9,"the speaker uses language of social rejection, labeling the target as ""weird"", indicating a negative emotional attribution."
conv_73,Rachel,Ross,[Turn 12] [SPEAKER] Speaker 2: I know. I know. And she’s not only my friend; she’s my pregnant friend! She’s my pregnant friend who’s [E2]Ross[/E2]’ ex!,positive,0.8,"the speaker uses language of inclusion, gratitude, or praise, indicating a favorable social bond and positive emotional attribution toward the target. the speaker is emphasizing the importance of the"
conv_143,Pete,Speaker 5,"[Turn 1] [SPEAKER] Speaker 1: [E1]Pete[/E1] Becker is circling the ring now. It looks like, he’s just trying to feel him out. Oh, Bruiser is just...",neutral,0.9,"the speaker is discussing a boxing match, using neutral language to describe the actions of the fighters. the tone is observational, without any emotional charge or interpersonal sentiment."
