conv_id,subject,object,sentence,llm_label,llm_confidence,llm_reasoning
conv_136,Speaker 2,Bonnie,"(-1 Turn: N/A) (Target Turn: Speaker 1: So Ross, how umm, how did it go with Bonnie?) (+1 Turn: Speaker 1: So Ross, how umm, how did it go with Bonnie?)",neutral,0.8,"the speaker uses a question to initiate a conversation, which is a neutral and non-confrontational way to interact. the speaker is showing interest in the target's life and experiences, which can be s"
conv_1061,Speaker 7,Fonzie,"(-1 Turn: Speaker 7: Hi! Phoebe, I'm Dr. Harad, I'm going to be delivering your babies. I want you to know, you're gonna be in good hands. I've been doing this for a long time. I'll be back in a minute to do your internal, in the meantime, just relax because everything here looks great. And also, I love Fonzie.) (Target Turn: Speaker 5: Did he just say, he loves Fonzie?) (+1 Turn: Speaker 5: Did he just say, he loves Fonzie?)",positive,0.8,"the speaker's tone is playful, and the use of the name ""fonzie"" is a reference to a popular tv character, indicating a lighthearted and humorous interaction. the speaker's emotional attribution is lik"
conv_333,Speaker 1,Ross,"(-1 Turn: Speaker 3: What do you mean? Rach, don't I seem like a professor you'd buy some kind of e-crap from?) (Target Turn: Speaker 2: We have too! I mean what if Ross's hears that and then calls her back and then they get back together? Is that what you want? Ross back with that controlling, neurotic, crazy Emily? The Emily that wouldn't let him see you?) (+1 Turn: Speaker 3: Noo! Oh no! No! God no! He should not get back together with her. I know that! You know that! Even Ross knows that! But that still doesn’t give us the right to erase his message!)",negative,0.95,"the speaker expresses strong negative emotions towards emily, using language of criticism, disdain, and rejection. the speaker also implies a sense of ownership and control over ross, indicating a pos"
conv_329,Emma,Amy,"(-1 Turn: Speaker 2: Yeah, well, everybody does! I’m a really cool person. And y'know you had 29 years to find that out, but you didn’t even try! Y'know what, you walked out on me, and I’m just, I’m gonna do the same thing to you.) (Target Turn: Speaker 2: Ok, fine, but I don't want them bonding to much. I don't want her telling Emma she needs a nose job.) (+1 Turn: Speaker 2: Ok, fine, but I don't want them bonding to much. I don't want her telling Emma she needs a nose job.)",negative,0.9,"the speaker expresses concern about the subject's (emma) physical appearance, indicating a negative emotional attribution."
conv_198,Speaker 1,Richard,"(-1 Turn: Speaker 1: Why are you guys so upset? It's Old Yeller, it's a happy movie.) (Target Turn: Speaker 1: I need to get some Richard.) (+1 Turn: Speaker 1: I need to get some Richard.)",neutral,0.8,"the speaker is asking for someone named richard, which implies a request or inquiry, lacking specific emotional charge or interpersonal sentiment."
conv_491,Emily,British,"(-1 Turn: Speaker 5: Sorry man.) (Target Turn: Speaker 3: Oh, thanks Gunther. STUPID BRITISH SNACK FOOD!!!!!!!) (+1 Turn: Speaker 3: Oh, thanks Gunther. STUPID BRITISH SNACK FOOD!!!!!!!)",negative,0.9,"the speaker uses strong language of frustration, anger, or disgust, indicating a negative emotional attribution toward the object (british snack food)."
conv_595,Speaker 4,Daryl Hannah,"(-1 Turn: Speaker 4: Daryl Hannah was the most beautiful woman that he'd ever seen in his life and I said yeah, I liked her in Splash, a lot, but not so much in- in Wall Street, I thought she had kind of a) (Target Turn: Speaker 4: Daryl Hannah was the most beautiful woman that he'd ever seen in his life and I said yeah, I liked her in Splash, a lot, but not so much in- in Wall Street, I thought she had kind of a) (+1 Turn: Speaker 4: Daryl Hannah was the most beautiful woman that he'd ever seen in his life and I said yeah, I liked her in Splash, a lot, but not so much in- in Wall Street, I thought she had kind of a)",positive,0.9,"the speaker describes a person as the most beautiful woman they've ever seen, indicating a strong positive emotional attribution. the speaker also mentions a shared experience (watching splash) and a"
conv_180,Speaker 3,Ross,"(-1 Turn: Speaker 3: Hello. My name is Regina Phalange. I'm a businesswoman in town on business. Would you like to see my card? Ooh, what did I do with my file-a-facts? I must've left it in conference room B.) (Target Turn: Speaker 3: Oh, I’m Phoebe Buffay. I’m one of Ross’s best friends.) (+1 Turn: Speaker 3: Hello. My name is Regina Phalange. I'm a businesswoman in town on business. Would you like to see my card? Ooh, what did I do with my file-a-facts? I must've left it in conference room B.)",positive,0.9,"the speaker introduces themselves as phoebe buffay, one of ross's best friends, indicating a friendly and social tone. the interaction lacks any negative or conflictual elements."
conv_880,Marjorie,Speaker 2,"(-1 Turn: Speaker 2: What harpist? My friend Marjorie is playing the steel drums.) (Target Turn: Speaker 1: I made her. Steel drums don't really say ""elegant wedding"". Nor does Marjorie's overwhelming scent.) (+1 Turn: Speaker 1: I made her. Steel drums don't really say ""elegant wedding"". Nor does Marjorie's overwhelming scent.)",negative,0.9,"the speaker uses language of criticism, disapproval, or rejection, indicating an unfavorable social bond and negative emotional attribution toward the object (marjorie)."
conv_195,Monica,Speaker 2,"(-1 Turn: Speaker 1: Okay, first I'm not crazy. And second, say it don't spray it. Anyway his name is Malcom, and he wasn't following me, I mean he was, but 'cause he thought I was Ursula, ick. And, that's why, that's why he couldn't just come up and talk to me. 'Cause of the restraining order.) (Target Turn: Speaker 1: No. But, Monica and I were talking, and-and I was so upset about the hall being knocked down, and she suggested that we put the wedding off for a bit.) (+1 Turn: Speaker 1: Okay, first I'm not crazy. And second, say it don't spray it. Anyway his name is Malcom, and he wasn't following me, I mean he was, but 'cause he thought I was Ursula, ick. And, that's why, that's why he couldn't just come up and talk to me. 'Cause of the restraining order.)",neutral,0.8,"the speaker expresses a negative emotional state (being upset) and mentions a conversation with monica, indicating a positive social bond. the speaker's emotional state is not directed at the target,"
conv_760,Speaker 3,Colin,"(-1 Turn: Speaker 1: Are we in London?) (Target Turn: Speaker 3: Ross, are you there? Ross, I don’t know if you can hear this but… I’m gonna talk anyway, uh, I’m in the States with you sister and your friends and it’s all over with Colin. I came here to tell you that, and to tell you—Yes, Joey you can have all the chocolate you want, just take it! Uh, I came here to tell you that I love you.) (+1 Turn: Speaker 3: Ross, are you there? Ross, I don’t know if you can hear this but… I’m gonna talk anyway, uh, I’m in the States with you sister and your friends and it’s all over with Colin. I came here to tell you that, and to tell you—Yes, Joey you can have all the chocolate you want, just take it! Uh, I came here to tell you that I love you.)",positive,0.95,"the speaker uses language of affection, intimacy, and vulnerability, indicating a strong positive emotional attribution toward the subject. the speaker also expresses a desire to connect with the subj"
conv_303,Joey,Speaker 2,(-1 Turn: Speaker 1: The comedian? USO?!) (Target Turn: Speaker 2: Or! I should rush through dinner with Joey and I can meet David at 9:00!) (+1 Turn: Speaker 1: The comedian? USO?!),positive,0.9,"the speaker is planning to meet david at 9:00, which implies a social engagement. the tone is casual and friendly, with no apparent conflict or negative emotions."
conv_299,Speaker 2,Pete Carney,"(-1 Turn: Speaker 2: Ok, ok, Roger was creepy, but he was nothing compared to Pete Carney.) (Target Turn: Speaker 2: Ok, ok, Roger was creepy, but he was nothing compared to Pete Carney.) (+1 Turn: Speaker 2: Ok, ok, Roger was creepy, but he was nothing compared to Pete Carney.)",negative,0.9,"the speaker uses language of comparison, specifically contrasting roger with pete carney, implying that pete carney is worse or more undesirable than roger. this implies a negative emotional attributi"
conv_470,Speaker 2,Rachel,"(-1 Turn: Speaker 1: I’m sorry, is this the same Rachel who’s name you said at the altar in the second marriage?) (Target Turn: Speaker 1: And we’ll need you and Rachel to testify before a judge.) (+1 Turn: Speaker 1: And we’ll need you and Rachel to testify before a judge.)",neutral,0.8,"the dialogue is task-oriented, logistical, or observational. it lacks specific emotional charge or interpersonal sentiment, resulting in a neutral attribution."
conv_320,Speaker 1,Mike,"(-1 Turn: Speaker 2: Look, I’m sorry but you-you-you better go Pheebs.) (Target Turn: Speaker 4: So, where's Mike?) (+1 Turn: Speaker 2: Look, I’m sorry but you-you-you better go Pheebs.)",neutral,0.8,"the dialogue is task-oriented, logistical, or observational. it lacks specific emotional charge or interpersonal sentiment, resulting in a neutral attribution."
conv_252,Chandler,Speaker 2,"(-1 Turn: Speaker 2: Oh, no, no. Not Leslie. No, she's, she's the only one that knows how to burp the alphabet.) (Target Turn: Speaker 1: Alright, so that leaves Chandler.) (+1 Turn: Speaker 1: Alright, so that leaves Chandler.)",neutral,0.8,"the speaker is addressing a specific individual, chandler, indicating a focus on a particular person. this suggests a social bond and emotional attribution, but the tone is neutral, lacking emotional"
conv_356,Gina,Joey,"(-1 Turn: Speaker 4: Are you insane? I mean Joey, is going to kill you, he's actually going to kill you dead.) (Target Turn: Speaker 4: I mean, was it Gina?) (+1 Turn: Speaker 4: I mean, was it Gina?)",neutral,0.8,"the speaker is asking a question about a specific person, gina, which implies a neutral or casual tone. the speaker is not expressing strong emotions or sentiment, and the interaction is not conflictu"
conv_305,Rachel,Ross,"(-1 Turn: Speaker 2: Y'know what this is like? This is like when my parents got divorced. Man, I hope Ross doesn't try to kidnap me after Cub Scouts.) (Target Turn: Speaker 2: Y'know what this is like? This is like when my parents got divorced. Man, I hope Ross doesn't try to kidnap me after Cub Scouts.) (+1 Turn: Speaker 2: Y'know what this is like? This is like when my parents got divorced. Man, I hope Ross doesn't try to kidnap me after Cub Scouts.)",negative,0.9,"the speaker uses a metaphor to describe their emotional state, comparing it to a past traumatic event (parents' divorce). this indicates a negative emotional attribution toward the subject (ross). the"
conv_258,Speaker 2,Missy Goldberg,"(-1 Turn: Speaker 1: You made out with Missy Goldberg. How could you do that, after you promised me?) (Target Turn: Speaker 1: You made out with Missy Goldberg. How could you do that, after you promised me?) (+1 Turn: Speaker 1: You made out with Missy Goldberg. How could you do that, after you promised me?)",negative,0.9,"the speaker uses language of betrayal, hurt, or anger, indicating a negative emotional attribution toward the target."
conv_40,Speaker 2,Pam,"(-1 Turn: Speaker 2: It’s Pam.) (Target Turn: Speaker 3: Pam! Oh God okay, just imagine this, ""The Pam."") (+1 Turn: Speaker 3: Pam! Oh God okay, just imagine this, ""The Pam."")",positive,0.9,"the speaker uses language of affection, intimacy, and familiarity, indicating a strong positive emotional attribution toward the target."
conv_332,Phoebe,Speaker 1,"(-1 Turn: Speaker 1: Thank you. Come meet my friends. This is uh, Phoebe.) (Target Turn: Speaker 1: Thank you. Come meet my friends. This is uh, Phoebe.) (+1 Turn: Speaker 1: Thank you. Come meet my friends. This is uh, Phoebe.)",positive,0.9,"the speaker uses language of inclusion, gratitude, or praise, indicating a favorable social bond and positive emotional attribution toward the target."
conv_375,Speaker 4,Joey,(-1 Turn: Speaker 4: Be-cause Ross is the father of my child! You know... and I... want him to hook up with lots of women! I just... All I'm saying is... I don't think that Joey and Charlie have anything in common.) (Target Turn: Speaker 4: Be-cause Ross is the father of my child! You know... and I... want him to hook up with lots of women! I just... All I'm saying is... I don't think that Joey and Charlie have anything in common.) (+1 Turn: Speaker 4: Be-cause Ross is the father of my child! You know... and I... want him to hook up with lots of women! I just... All I'm saying is... I don't think that Joey and Charlie have anything in common.),negative,0.9,"the speaker uses language of conflict, social rejection, or hostile intent, indicating a negative emotional attribution between the parties. the speaker is expressing a desire for ross to hook up with"
conv_151,Joey,Speaker 2,"(-1 Turn: N/A) (Target Turn: Speaker 1: You wanna fool around with Joey?) (+1 Turn: Speaker 2: Sorry- Hi, I'm Dorothy's daughter.)",positive,0.8,"the speaker's tone is playful and flirtatious, indicating a positive emotional attribution toward the target."
conv_747,Speaker 2,Rachel,"(-1 Turn: Speaker 2: Hey! You hold on pal! Now you made my friend, Rachel, cry. So now, you’re gonna go up there and apologize to her, unless you want me to call the landlord.) (Target Turn: Speaker 2: Hey! You hold on pal! Now you made my friend, Rachel, cry. So now, you’re gonna go up there and apologize to her, unless you want me to call the landlord.) (+1 Turn: Speaker 2: Hey! You hold on pal! Now you made my friend, Rachel, cry. So now, you’re gonna go up there and apologize to her, unless you want me to call the landlord.)",negative,0.9,"the speaker uses language of reprimand, warning, or threat, indicating a negative emotional attribution toward the subject. the speaker is trying to enforce a social norm or expectation, and the subje"
conv_594,Mrs. Tribbiani,Irish,"(-1 Turn: Speaker 2: Hello? Yeah, hi! Mrs. Tribbiani? Hi, this is Monica Geller. Yeah I’m just calling to say that Chandler and I uh, really hope you can make it to the wedding. Yeah, apparently a bunch of invitations that we sent weren’t delivered. Umm, I guess there was some screw up at the damn post office! T-Tell me about it! Yeah, yeah, the US Post Office? No, more like US lost office! What are they Irish?!) (Target Turn: Speaker 2: Hello? Yeah, hi! Mrs. Tribbiani? Hi, this is Monica Geller. Yeah I’m just calling to say that Chandler and I uh, really hope you can make it to the wedding. Yeah, apparently a bunch of invitations that we sent weren’t delivered. Umm, I guess there was some screw up at the damn post office! T-Tell me about it! Yeah, yeah, the US Post Office? No, more like US lost office! What are they Irish?!) (+1 Turn: Speaker 2: Hello? Yeah, hi! Mrs. Tribbiani? Hi, this is Monica Geller. Yeah I’m just calling to say that Chandler and I uh, really hope you can make it to the wedding. Yeah, apparently a bunch of invitations that we sent weren’t delivered. Umm, I guess there was some screw up at the damn post office! T-Tell me about it! Yeah, yeah, the US Post Office? No, more like US lost office! What are they Irish?!)",positive,0.9,"the speaker is making a friendly phone call to mrs. tribbiani, inviting her to a wedding. the tone is casual and playful, with a dash of humor. the speaker uses colloquial language and makes a lighthe"
conv_195,Ursula,Speaker 1,"(-1 Turn: Speaker 1: Okay, first I'm not crazy. And second, say it don't spray it. Anyway his name is Malcom, and he wasn't following me, I mean he was, but 'cause he thought I was Ursula, ick. And, that's why, that's why he couldn't just come up and talk to me. 'Cause of the restraining order.) (Target Turn: Speaker 1: Okay, first I'm not crazy. And second, say it don't spray it. Anyway his name is Malcom, and he wasn't following me, I mean he was, but 'cause he thought I was Ursula, ick. And, that's why, that's why he couldn't just come up and talk to me. 'Cause of the restraining order.) (+1 Turn: Speaker 1: Okay, first I'm not crazy. And second, say it don't spray it. Anyway his name is Malcom, and he wasn't following me, I mean he was, but 'cause he thought I was Ursula, ick. And, that's why, that's why he couldn't just come up and talk to me. 'Cause of the restraining order.)",negative,0.9,"the speaker expresses frustration, annoyance, and possibly even fear or discomfort, indicating a negative emotional attribution toward the subject (malcom). the speaker also uses language of rejection"
conv_24,Speaker 2,Barbados,(-1 Turn: Speaker 1: It's in Barbados.) (Target Turn: Speaker 1: It's in Barbados.) (+1 Turn: Speaker 1: It's in Barbados.),neutral,0.9,"the dialogue lacks specific emotional charge or interpersonal sentiment, resulting in a neutral attribution."
conv_208,Mike,Speaker 3,(-1 Turn: Speaker 2: You went out with Wallis Pincer?) (Target Turn: Speaker 3: So... now... What about with Mike's mom?) (+1 Turn: Speaker 3: So... now... What about with Mike's mom?),neutral,0.9,"the speaker uses a neutral tone and does not express any strong emotions or sentiments, indicating a neutral emotional attribution."
conv_344,Monica,Speaker 1,"(-1 Turn: N/A) (Target Turn: Speaker 1: Pheebs, can you help me pick out an engagement ring for Monica? I can’t figure this out! It’s so hard! Should I get her a Tiffany cut or a Princess cut or a—ah-ah! Paper cut!) (+1 Turn: Speaker 1: Rach! Rach!)",positive,0.9,"the speaker is seeking advice from pheebs on choosing an engagement ring for monica, indicating a positive emotional attribution toward monica. the speaker's language is uncertain and seeking guidance"
conv_870,Speaker 2,Ross,"(-1 Turn: N/A) (Target Turn: Speaker 1: You’ll never believe what just happened, Ross just totally blew me off and he didn’t even tell me why!) (+1 Turn: Speaker 1: You’ll never believe what just happened, Ross just totally blew me off and he didn’t even tell me why!)",negative,0.9,"the speaker uses language of surprise, disappointment, or frustration, indicating a negative emotional attribution toward the target. the speaker's tone is informal and conversational, suggesting a cl"
conv_275,Tag,Speaker 1,"(-1 Turn: Speaker 3: Okay, wait a minute, wait a minute, why are we so sure that this is a girl?) (Target Turn: Speaker 1: How would you feel about taking out my assistant Tag? I’ll pay.) (+1 Turn: Speaker 1: How would you feel about taking out my assistant Tag? I’ll pay.)",positive,0.8,"the speaker is asking the target about their willingness to go on a date with tag, indicating a potential romantic interest. the speaker is also offering to pay, which could be seen as a gesture of ki"
conv_793,Speaker 2,Jack,"(-1 Turn: Speaker 3: Umm, I'm sorry Judy, I couldn't find that bowl that you and Jack were looking for.) (Target Turn: Speaker 3: Umm, I'm sorry Judy, I couldn't find that bowl that you and Jack were looking for.) (+1 Turn: Speaker 3: Umm, I'm sorry Judy, I couldn't find that bowl that you and Jack were looking for.)",neutral,0.7,"the speaker uses apologetic language (""i'm sorry"") and acknowledges the target's (judy's) involvement in the search, indicating a neutral or potentially positive emotional attribution."
conv_177,Chandler,Speaker 1,"(-1 Turn: Speaker 1: And the winner is…Joey Tribbiani! Oh… Wow! I honestly never expected this. I uh, I didn’t prepare a speech. But umm, I’d like to thank my parents, who’ve always been there for me. I’d also like to thank my friends, Chandler, Monica, Phoebe, Rachel…) (Target Turn: Speaker 1: And the winner is…Joey Tribbiani! Oh… Wow! I honestly never expected this. I uh, I didn’t prepare a speech. But umm, I’d like to thank my parents, who’ve always been there for me. I’d also like to thank my friends, Chandler, Monica, Phoebe, Rachel…) (+1 Turn: Speaker 1: And the winner is…Joey Tribbiani! Oh… Wow! I honestly never expected this. I uh, I didn’t prepare a speech. But umm, I’d like to thank my parents, who’ve always been there for me. I’d also like to thank my friends, Chandler, Monica, Phoebe, Rachel…)",positive,0.95,"the speaker uses language of gratitude, praise, and humility, indicating a positive emotional attribution toward the friends mentioned. the tone is celebratory and sincere, suggesting a strong social"
conv_16,Speaker 2,Buddy,"(-1 Turn: Speaker 1: Dude! You're not taking your Bible?) (Target Turn: Speaker 1: Buddy?) (+1 Turn: Speaker 2: You know, Chappy's too small to handle all this snow. Someone's gonna have to walk him down the aisle.)",positive,0.9,"the speaker uses a term of endearment (""buddy""), indicating a friendly and informal tone, which suggests a positive emotional attribution toward the target."
conv_25,Pheebs,Ursula,"(-1 Turn: Speaker 2: Yeah, I'm gonna go back to being Street Phoebe. Yeah! Oh but, y'know what? I can't go totally back because Street Phoebe really wouldn't be friends with you guys. Sorry.) (Target Turn: Speaker 5: Your sister Ursula.) (+1 Turn: Speaker 5: Your sister Ursula.)",neutral,0.8,"the speaker mentions a family member, which can be a neutral or positive reference. however, the tone is more observational and lacks emotional charge, indicating a neutral attribution."
conv_97,Chandler Bing,Speaker 2,"(-1 Turn: N/A) (Target Turn: Speaker 1: Excuse me, I-I couldn’t help overhearing, you’re marrying Chandler Bing?) (+1 Turn: Speaker 1: Excuse me, I-I couldn’t help overhearing, you’re marrying Chandler Bing?)",neutral,0.8,"the speaker's tone is inquiring, and the language used is polite, indicating a neutral emotional attribution. the speaker is not expressing strong emotions or personal opinions, but rather seeking inf"
conv_83,Speaker 3,Rachel,"(-1 Turn: Speaker 1: ""Heckles, you crack me up in science class. You're the funniest kid in school.) (Target Turn: Speaker 1: Oh, y’know what, that might be okay even if it was just kind of a fling, that might be all right with Rachel.) (+1 Turn: Speaker 2: Funniest? Heckles?)",neutral,0.8,"the speaker is expressing a possibility of a casual relationship with rachel, which is a neutral topic. the tone is not aggressive, defensive, or emotional, indicating a neutral emotional attribution."
conv_23,Speaker 2,Ursula,"(-1 Turn: Speaker 1: Ursula?) (Target Turn: Speaker 2: Ursula’s fiancée?) (+1 Turn: Speaker 2: Emma, you even know it's your birthday today? You're one! One-year-old, that's little.)",neutral,0.8,"the speaker is asking about ursula's fiancée, which implies a neutral or observational tone, without any emotional charge or interpersonal sentiment."
conv_288,Speaker 1,Ross,"(-1 Turn: Speaker 2: Yeah, but it’s okay, because when Ross left Mark came over.) (Target Turn: Speaker 2: Yeah, but it’s okay, because when Ross left Mark came over.) (+1 Turn: Speaker 2: Well, y'know I'm 29. I mean who needs a savings account.)",positive,0.9,"the speaker uses language of acceptance, understanding, and empathy, indicating a positive emotional attribution toward the target."
conv_386,Minnie,Speaker 2,"(-1 Turn: Speaker 1: Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?) (Target Turn: Speaker 3: We agreed on Minnie.) (+1 Turn: Speaker 3: We agreed on Minnie.)",positive,0.9,"the speaker uses language of agreement, confirmation, or shared understanding, indicating a favorable social bond and positive emotional attribution toward the target."
conv_168,Speaker 2,Lennart Haze,"(-1 Turn: Speaker 1: …anyway, his name is Allan and we’ve been going out for three years. He was my first client when I became a party planner. He was planning a party for his girlfriend at the time. Oh well. And he was Theta Beta Pi at Syracuse.) (Target Turn: Speaker 1: This is Joey Tribbiani. Joey, these are the producers and, as you probably already know, this is Lennart Haze.) (+1 Turn: Speaker 1: …anyway, his name is Allan and we’ve been going out for three years. He was my first client when I became a party planner. He was planning a party for his girlfriend at the time. Oh well. And he was Theta Beta Pi at Syracuse.)",neutral,0.9,"the speaker introduces themselves and another person, lennart haze, without any emotional connotation or interpersonal sentiment. the tone is formal and professional."
conv_73,Rachel,Speaker 2,(-1 Turn: Speaker 1: Yeah that’s Rachel. Beat me over the head with it.) (Target Turn: Speaker 1: Yeah that’s Rachel. Beat me over the head with it.) (+1 Turn: Speaker 1: Yeah that’s Rachel. Beat me over the head with it.),negative,0.9,"the speaker uses language of social rejection, conflict, or hostile intent, establishing a negative emotional attribution between the parties."
conv_312,Emily,Susan,(-1 Turn: Speaker 3: You actually think that something can happen between Emily and Susan?) (Target Turn: Speaker 3: Hi! Hi! You’re crazy! Okay? This is Emily. Emily is straight.) (+1 Turn: Speaker 3: Hi! Hi! You’re crazy! Okay? This is Emily. Emily is straight.),positive,0.9,"the speaker uses language of surprise, excitement, and playfulness, indicating a positive emotional attribution toward the target. the speaker also introduces a new person, emily, which suggests a pos"
conv_91,Ross,Speaker 1,(-1 Turn: Speaker 1: Let's see if we can get that Rachel back here.) (Target Turn: Speaker 1: With Ross and Jill?) (+1 Turn: Speaker 1: With Ross and Jill?),positive,0.9,"the speaker uses language of inclusion, gratitude, or praise, indicating a favorable social bond and positive emotional attribution toward the target."
conv_509,Speaker 2,Dr. Gettleman,"(-1 Turn: Speaker 2: Dr. Gettleman? Yeah I know, I don't think that's a good idea. In fact, I think he's dead.) (Target Turn: Speaker 2: Dr. Gettleman? Yeah I know, I don't think that's a good idea. In fact, I think he's dead.) (+1 Turn: Speaker 2: Dr. Gettleman? Yeah I know, I don't think that's a good idea. In fact, I think he's dead.)",negative,0.9,"the speaker uses language of criticism, disapproval, or rejection, indicating a negative emotional attribution toward the target."
